,recall,map,mrr,f1,n_questions,n_docs,top_k
0,0.02824360105913504,0.01481318034716093,0.02824360105913504,0.018152397764048252,1133,984,1
1,0.0617828773168579,0.022526196467061433,0.04310091203295087,0.023128651283991074,1133,984,3
2,0.08737864077669903,0.02576074986600142,0.04897028537805236,0.02536503655215039,1133,984,5
3,0.11385701676963812,0.027976416559665845,0.05302610011347877,0.027833706452417832,1133,984,7
4,0.13503971756398941,0.0304441185902908,0.05537973353507338,0.029047494355261647,1133,984,10
5,0.1650485436893204,0.033065318941169895,0.05767120493510615,0.02916380795693002,1133,984,15
6,0.1853486319505737,0.03484411702041591,0.05879910526759633,0.0286008187756027,1133,984,20
7,0.1977052074139453,0.03589276047802973,0.059342026600455886,0.027219536406769124,1133,984,25
8,0.205648720211827,0.036945218707722764,0.05962997037684962,0.02624196784081448,1133,984,30
9,0.22683142100617829,0.038342107081935056,0.06022670702583686,0.024095088965635225,1133,984,40
10,0.23918799646954986,0.039363320881506625,0.060509071322283094,0.02249988003655505,1133,984,50
11,0.2497793468667255,0.04012873723453937,0.060696768705408105,0.021203396632716573,1133,984,60
12,0.2709620476610768,0.04096691659738858,0.06102445975200622,0.020551491436544996,1133,984,70
13,0.2833186231244484,0.04157607631240619,0.06118832203566683,0.01966328304079085,1133,984,80
14,0.2912621359223301,0.0419282111867254,0.06128151756534237,0.018498977181372066,1133,984,90
15,0.3115622241835834,0.04237518752445156,0.06149200316298382,0.01793985508963265,1133,984,100
