,recall,map,mrr,f1,n_questions,n_docs,top_k
0,0.3027360988526037,0.15635520456791432,0.3027360988526037,0.1859833360715974,1133,984,1
1,0.4510150044130627,0.21697932351065632,0.3664313033245068,0.19464186108960574,1133,984,3
2,0.5057369814651368,0.23521309865970078,0.3787878787878782,0.17428522002661526,1133,984,5
3,0.5525154457193292,0.24597959146818046,0.3858697936367836,0.16076046622098267,1133,984,7
4,0.6001765225066196,0.25478258336693604,0.3911311450146397,0.1432060310986706,1133,984,10
5,0.6487202118270079,0.26283305478306646,0.39496683565527285,0.12181253029789692,1133,984,15
6,0.678729037952339,0.26703982569375734,0.39662893745113265,0.10600076915438748,1133,984,20
7,0.70432480141218,0.26980552047267764,0.3977463435238324,0.094414337672659,1133,984,25
8,0.7219770520741394,0.27181556590751405,0.398383173370572,0.08564893222415117,1133,984,30
9,0.7528684907325685,0.27433545264736464,0.3992484926629963,0.07259517968288015,1133,984,40
10,0.7784642541924095,0.2757752887819398,0.3998158549626892,0.06325743561067029,1133,984,50
11,0.8075904677846425,0.2770560972439591,0.4003383907105993,0.0568774354356834,1133,984,60
12,0.8164165931156222,0.27785509132256886,0.40047115057520516,0.051358792509105584,1133,984,70
13,0.8261253309796999,0.2784367508517683,0.4006007461840009,0.046941256380636655,1133,984,80
14,0.8340688437775816,0.27891387877123763,0.40069326145244655,0.04330338095134501,1133,984,90
15,0.8420123565754634,0.2793394032066199,0.40077675720604283,0.04034478161452294,1133,984,100
