,recall,map,mrr,f1,n_questions,n_docs,top_k
0,0.12003530450132392,0.05558675657969574,0.12003530450132392,0.06649854999369563,1133,984,1
1,0.1588702559576346,0.08176255644260938,0.13665784054133567,0.07496472097089928,1133,984,3
2,0.17917034421888792,0.09400761537014848,0.1414239482200647,0.07485423030436268,1133,984,5
3,0.20388349514563106,0.10350544450925865,0.14526961711427727,0.07647968389362925,1133,984,7
4,0.21977052074139453,0.10894303285174546,0.14699561495677996,0.0691180689018859,1133,984,10
5,0.24536628420123566,0.11447595372956966,0.14894853111975792,0.06217083881351415,1133,984,15
6,0.2727272727272727,0.11767642408320556,0.150494666676534,0.05649214213166366,1133,984,20
7,0.2921447484554281,0.11899376470443937,0.1513506438472201,0.050119715355379985,1133,984,25
8,0.3089143865842895,0.12040936593885047,0.1519563921764368,0.04626037043409765,1133,984,30
9,0.33362753751103263,0.1218001189982977,0.15265459609327642,0.03925924230469087,1133,984,40
10,0.36187113857016767,0.12282012268899026,0.1532725213074527,0.0346997879752806,1133,984,50
11,0.38658428949691087,0.12359973751644203,0.15371319092955482,0.03150551885917911,1133,984,60
12,0.4095322153574581,0.12426014625764248,0.15406063071568,0.02899981463966046,1133,984,70
13,0.4165931156222418,0.124658238624998,0.15415302120447671,0.026550219627016165,1133,984,80
14,0.4333627537511033,0.12506478722342015,0.15434886368316003,0.024847237003914488,1133,984,90
15,0.4457193292144748,0.12532656644125573,0.15447935368094176,0.023241127299473516,1133,984,100
